,#,Player,Position,Team,DOB,Age (1/15/26),Previous Rank, +/- Change,Notes/Outlook,
,1,Victor Wembanyama,PF/C,SAS,2004-01-04,22.56440602,1,0,God Emperor Wemby is currently the MVP frontrunner. The league (and your leaguemates) should be terrified he's already this good. 
,2,Shai Gilgeous-Alexander,PG/SG,OKC,1998-07-12,28.04657534,2,0,More of the same from SGA as the reigning MVP. We know what to expect out of an elite performer and a unanimous top 2-3 dynasty pick in all formats.
,3,Luka Doncic,PG/SG,LAL,1999-02-28,27.41369863,4,0,"Luka continued to show why he's an absolute superstar with the Lakers. As expected, a lot of sparks this year and especially as of late at the end of the year."
,4,Nikola Jokic,C,DEN,1995-02-19,31.43835616,3,0,Jokic is still dominating at a high level. He's 31 now but his game will age like fine wine. Averaging anything close to a triple double is par for the course at this point.
,5,Cooper Flagg,SF/PF,DAL,2006-12-21,19.60273973,5,0,Flagg has looked as advertised despite some normal rookie struggles and he'll keep getting better quickly. Expect him to remain a consensus top 5-10 player.
,6,Cade Cunningham,PG/SG,DET,2001-09-25,24.84109589,6,0,Cade has officially ascended last year and led the Pistons to the best record in the East. A collapsed lung will knock him out until the playoffs.
,7,Tyrese Maxey,PG/SG,PHI,2000-11-04,25.73107269,7,0,Maxey has been fantastic to start the year. I had doubts about him being a winning first option guy but he's truly there right now.
,8,Anthony Edwards,SG/SF,MIN,2001-08-05,24.98082192,8,0,Ant continues to ascend so far beyond any of my expectations. He's had his best season to date and is averaging close to 50% FG and 40% 3PT on the year.
,9,Jalen Johnson,SF/PF,ATL,2001-12-18,24.6109589,9,0,I can't deny Jalen Johnson any longer. He's emerged into a full-blown fantasy and IRL star this year.
,10,Jayson Tatum,SF/PF,BOS,1998-03-03,28.40547945,16,4,Jayson Tatum is back on the court and quickly returning to form. He's back to my top 10 for next year when he's 100% again.
,11,Cameron Boozer,PF/C,Duke,2007-07-18,19.03013699,18,-1,"Cam Boozer looks the part of an elite-level fantasy basketball player with how he stuffs the stat sheets. He is the very obvious, ""don't overthink it"" 1.01."
,12,Chet Holmgren,PF/C,OKC,2002-05-01,24.24383562,12,0,Chet continues to be awesome for fantasy purposes and is having another fantastic year.
,13,Tyrese Haliburton,PG/SG,IND,2000-02-29,26.41140055,15,2,Haliburton suffered a devestating Achilles injury in game 7 of the NBA finals. I've bumped him up a bit in preparation for his return going into next year.
,14,Alperen Sengun,C,HOU,2002-07-25,24.0109589,11,-3,Alperen Sengun continues to grow and is having the best year of his young career. He has improved on both ends of the ball but the defense remains an issue.
,15,Jalen Williams,SG/SF/PF,OKC,2001-04-14,25.29041096,10,3,JDub has had a down year due to his wrist and hamstring injuries. I'm buying the dip on him this offseason if people are starting to panic. 
,16,Evan Mobley,PF/C,CLE,2001-06-18,25.11232877,13,-3,I think it's fair to say Mobley has been underwhelming this season after being great last year. Still in on him as a top-20 asset moving forward.
,17,Scottie Barnes,SF/PF,TOR,2001-08-01,24.99178082,17,0,Barnes has continued to step it up in the fantasy game this year. He's been very efficient from the field even if the 3-point shooting isn't there.
,18,Giannis Antetokounmpo,PF/C,MIL,1994-12-06,31.64383562,17,2,"There are sure to be questions about Giannis if he gets traded, but in most situations, he will remain a top-end fantasy contributor well through the end of his prime."
,19,Darryn Peterson,PG/SG,Kansas,2007-01-17,19.52876712,19,-3,"Peterson was once in the running for 1.01, but his hamstring injury has been a blemish on his season. I'm not concerned about the assists this year with Kansas."
,20,Amen Thompson,PG/SG/SF,HOU,2003-01-30,23.49315068,14,-1,"Frankly, I've been a little disappointed by Amen Thompson relative to the expectations coming in. Still an elite player and asset to hold onto, though."
,21,Austin Reaves,PG/SG,LAL,1998-05-29,28.16712329,24,1,Reaves has stepped up in a big way this year and gotten better with him and Luka at the reins. He is a truly special talent and an incredible find by LA's front office.
,22,Donovan Mitchell,PG/SG,CLE,1996-09-07,29.88954263,23,1,Mitchell has had arguably his best Cavs season yet. He and James Harden have been a good pairing and I expect Mitchell to stay in Cleveland a while longer.
,23,Franz Wagner,SG/SF/PF,ORL,2001-08-27,24.92054795,21,-2,"The entire Magic squad has struggled this year. I think they may be best suited with Wagner as their 1A, but his availability has been an issue this year."
,24,Deni Avdija,SF/PF,POR,2001-01-03,25.56712329,29,2,Avdija is stamped as legit and he's Portland's best player moving forward. He gets his first All-Star nod this year. Not worried about his back.
,25,AJ Dybantsa,SG/SF,BYU,2007-01-29,19.49589041,28,2,That Dybantsa is somehow the 1.03 in any rookie draft is just absurd. He's a special talent not far off from Peterson in contention to go 2nd overall.
,26,Trae Young,PG/SG,WAS,1998-09-19,27.85753425,22,-2,"Trae Young gets moved to WAS to be their point guard of the present... and maybe the future, as they gear up to improve with him, Anthony Davis and the youngsters."
,27,Devin Booker,SG/SF,PHO,1996-10-30,29.74473389,25,1,Booker is who he is by now and will continue putting up essentially the same numbers as always. The 3-pointers are tailing off to under 6 3PA.
,28,Jalen Brunson,PG/SG,NYK,1996-08-31,29.90866831,26,-3,"Brunson is still playing well and in his prime, but it's clear that the drop-off could be coming sooner than later as a small guard. "
,29,LaMelo Ball,PG/SG,CHA,2001-08-22,24.93424658,31,2,"Despite decreases in his points, Ball is still cruising and doing what he's best at. He's a high-level playmaker and has meshed really well with Kon Knueppel this year."
,30,Josh Giddey,PG/SG/SF,CHI,2002-10-10,23.8,30,0,"I'm still not the biggest fan of the Giddler, but I can't deny that he's been great for fantasy and this all is sustainable as Chicago's ""franchise player""."
,31,Kon Knueppel,SG/SF,CHA,2005-08-03,20.98630137,43,6,Kon has been an important piece for Charlotte and has shown a way stronger fantasy profile than other dynasty creators thought. He's the frontrunner for ROTY over Flagg.
,32,Dylan Harper,PG/SG,SAS,2006-03-02,20.40821918,27,-3,"Harper has been fantastic starting out. I think it's clear by now that he, Fox and Castle can coexist for now, even if usage gets a little hairy."
,33,Trey Murphy III,SG/SF/PF,NOP,2000-06-18,26.11085411,35,0,"After some initial struggles, Trey Murphy has rebounded and continues to deliver well off a career year."
,34,Paolo Banchero,SF/PF,ORL,2002-11-12,23.70958904,32,1,"Paolo has underwhelmed as a categories fantasy player, but he's started to have a better year compared to years' past."
,35,Jalen Duren,C,DET,2003-11-18,22.69315068,36,-1,Duren has stepped up this year and has a real chance at winning Most Improved Player. Defense remains an issue but he is DET's second best player by a long shot.
,36,Alex Sarr,PF/C,WAS,2005-04-26,21.25753425,34,0,"Sarr has taken some steps this year and has a cleaner profile for fantasy. He's playing well for still being 20, though he's now known as the guy Bam dropped 83 on."
,37,Jamal Murray,PG/SG,DEN,1997-02-23,29.42739726,40,2,Murray has been great so far this year as Denver's healthiest player on the roster. He gets his first All-Star appearance and has a good shot at All-NBA.
,38,Caleb Wilson,SF/PF,North Carolina,2006-07-18,20.03013699,56,13,"For some, the Big 3 of the 2026 Draft is actually a Big 4. Caleb Wilson has ridiculous potential as a super high-impact, two-way player and a possible fantasy star."
,39,Darius Garland,PG/SG,LAC,2000-01-26,26.50429673,37,-7,"Garland's injury issues came to a head this year, and he was traded to the Clippers. He'll be their franchise point guard moving forward."
,40,Jaren Jackson Jr.,PF/C,UTA,1999-09-15,26.86849315,39,-1,JJJ was shockingly traded to Utah in a blockbuster deal no one saw coming. He's a great compliment to Walker Kessler with two great defenders in the frontcourt.
,41,VJ Edgecombe,PG/SG,PHI,2005-07-30,20.99726027,47,4,"Edgecombe has established himself as Philly's present and future as they aim to build with him, Maxey and Embiid."
,42,Karl-Anthony Towns,PF/C,NYK,1995-11-15,30.70136986,33,-4,It's obvious that a KAT trade may be brewing soon if the Knicks cannot win in the playoffs this year.
,43,Bam Adebayo,PF/C,MIA,1997-07-18,29.03013699,41,0,"Bam Adebayo has been having a good year, but who could've seen him scoring 83 points for the 2nd all-time high in points?"
,44,Jaylen Brown,SG/SF,BOS,1996-10-24,29.76112733,42,-2,Jaylen Brown has been real good as the leading man for the Celtics. He'll settle back into the prior role with Tatum now back.
,45,De'Aaron Fox,PG/SG,SAS,1997-12-20,28.60547945,38,-5,Harper and Castle are making the conversation around Fox interesting. He feels very expendable as they'll start to assess payroll and getting Wemby a megadeal soon.
,46,Kingston Flemings,PG/SG,Houston,2007-01-03,19.56712329,57,10,Flemings is set to be the 5th pick in real life and in dynasty drafts. He's got franchise point guard written all over him and has been a star for Houston.
,47,Desmond Bane,SG/SF,ORL,1998-06-25,28.09315068,48,-3,Bane has remained at a high level even in Orlando. He's been their mainstay all year with plenty of injuries up and down the roster.
,48,Lauri Markkanen,SF/PF,UTA,1997-05-22,29.18630137,49,2,"I'm not terribly worried about Lauri moving forward, either leaving via trade or with JJJ and Kessler in the frontcourt. Dude's just a good player."
,49,James Harden,PG/SG,CLE,1989-08-26,36.92328767,51,-2,Harden heads to Cleveland for another stint ended by money disputes. He's still doing his thing at a high level.
,50,Domantas Sabonis,PF/C,SAC,1996-05-03,30.23653717,45,-4,"Sabonis got ravaged by injuries this year, and his future with the Kings and as a top-end fantasy player will remain a question mark."
,51,Kevin Durant,SF/PF,HOU,1988-09-29,37.82943334,50,-3,"KD has continued doing his thing, this time in Houston on a team full of youngsters. I expect about 1-2 more years at this level of play."
